;Municipalitynumber;Municipality;Size;Residents;Buildingprice;Grasslandprice
366;40621.0;Unterweißenbach;48.75;2174.0;36.57;1.63
367;40622.0;Unterweitersdorf;11.43;2178.0;87.32;2.15
368;40623.0;Waldburg;26.54;1408.0;48.38;5.04
369;40624.0;Wartberg ob der Aist;19.42;4317.0;96.75;2.96
370;40625.0;Weitersfelden;43.73;1048.0;;1.76
371;40626.0;Windhaag bei Freistadt;42.84;1576.0;48.38;4.08
372;40627.0;Bad Zell;45.54;2898.0;54.0;3.11
373;;;;;;
374;;;;;;
375;40701.0;Altmünster;78.82;9841.0;140.32;3.14
376;40702.0;Bad Goisern am Hallstättersee;112.34;755.0;96.0;8.46
377;40703.0;Bad Ischl;163.16;14083.0;137.69;8.07
378;40704.0;Ebensee am Traunsee;194.77;7682.0;71.28;10.77
379;40705.0;Gmunden;63.6;13243.0;237.61;3.22
380;40706.0;Gosau;113.48;1785.0;87.91;7.42
381;40707.0;Grünau im Almtal;230.32;2066.0;77.5;2.29
382;40708.0;Gschwandt;16.75;2825.0;112.5;6.04
383;40709.0;Hallstatt;59.76;7550.0;76.41;5.34
384;40710.0;Kirchham;28.38;2192.0;78.68;4.5
385;40711.0;Laakirchen;32.48;9835.0;84.54;7.72
386;40712.0;Obertraun;86.89;7500.0;75.48;12.68
387;40713.0;Ohlsdorf;27.8;5196.0;102.01;8.27
388;40714.0;Pinsdorf;12.49;4034.0;102.74;3.19
389;40715.0;Roitham am Traunfall;21.03;1995.0;77.0;9.06
390;40716.0;St. Konrad;19.29;1148.0;64.5;4.01
391;40717.0;St. Wolfgang im Salzkammergut;56.47;279.0;160.62;7.35
392;40718.0;Traunkirchen;18.34;1636.0;188.1;2.34
393;40719.0;Scharnstein;47.88;4869.0;73.33;11.49
394;40720.0;Vorchdorf;47.78;7524.0;71.92;7.16
395;;;;;;
396;;;;;;
397;30902.0;Amaliendorf-Aalfang;8.04;1115.0;74.03;5.9
398;30903.0;Brand-Nagelberg;36.71;1513.0;55.08;7.48
399;30904.0;Eggern;20.23;6840.0;;1.55
400;30906.0;Eisgarn;22.52;6800.0;;1.47
401;30908.0;Gmünd;25.18;5318.0;32.4;6.34
402;30909.0;Großdietmanns;39.93;2224.0;25.35;5.93
403;30910.0;Bad Großpertholz;82.49;1313.0;78.2;1.58
404;30912.0;Großschönau;41.96;1209.0;24.75;2.1
405;30913.0;Moorbad Harbach;35.54;7360.0;55.01;2.65
406;30915.0;Haugschlag;22.65;4820.0;26.51;4.28
407;30916.0;Heidenreichstein;58.44;3901.0;32.52;2.26
408;30917.0;Hirschbach;7.89;5790.0;34.91;8.37
409;30920.0;Hoheneich;15.58;1394.0;26.38;7.67
410;30921.0;Kirchberg am Walde;37.81;1302.0;30.83;3.02
411;30925.0;Litschau;81.08;2191.0;31.94;1.93
412;30929.0;Reingers;24.94;6170.0;26.06;2.38
413;30932.0;St. Martin;49.4;1083.0;106.21;6.58
414;30935.0;Schrems;60.82;5385.0;28.01;2.72
415;30939.0;Unserfrau-Altweitra;40.21;9850.0;40.02;1.91
416;30940.0;Waldenstein;22.73;1203.0;23.63;9.64
417;30942.0;Weitra;52.67;2646.0;33.75;1.73
418;;;;;;
419;;;;;;
420;60101.0;Graz;127.56;29054.0;363.39;147.16
421;;;;;;
422;;;;;;
423;60608.0;Feldkirchen bei Graz;11.58;6698.0;138.92;9.87
424;60611.0;Gössendorf;7.21;4107.0;137.65;11.09
425;60613.0;Gratkorn;34.63;8056.0;149.47;3.0
426;60617.0;Hart bei Graz;11.06;5193.0;151.41;3.64
427;60618.0;Haselsdorf-Tobelbad;6.68;1515.0;125.57;3.93
428;60619.0;Hausmannstätten;6.79;3485.0;131.34;6.09
429;60623.0;Kainbach bei Graz;17.83;2821.0;149.5;3.0
430;60624.0;Kalsdorf bei Graz;15.17;7417.0;128.21;6.07
431;60626.0;Kumberg;29.43;3836.0;134.98;2.96
432;60628.0;Laßnitzhöhe;14.88;2761.0;145.76;1.81
433;60629.0;Lieboch;11.73;5207.0;135.52;3.14
434;60632.0;Peggau;11.26;2334.0;115.45;2.47
435;60639.0;Sankt Bartholomä;11.73;144.0;155.63;2.33
436;60641.0;Sankt Oswald bei Plankenwarth;11.82;1273.0;139.45;3.13
437;60642.0;Sankt Radegund bei Graz;21.57;2148.0;121.17;2.58
438;60645.0;Semriach;60.38;3291.0;248.15;2.73
439;60646.0;Stattegg;25.84;2937.0;183.61;2.18
440;60647.0;Stiwoll;13.01;7090.0;155.31;1.38
441;60648.0;Thal;18.52;228.0;146.71;3.63
442;60651.0;Übelbach;94.7;2032.0;126.57;2.62
443;60653.0;Vasoldsberg;28.1;4598.0;115.23;2.52
444;60654.0;Weinitzen;19.0;2667.0;135.05;3.63
445;60655.0;Werndorf;6.24;2358.0;190.63;6.79
446;60656.0;Wundschuh;12.9;1635.0;111.3;8.83
447;60659.0;Deutschfeistritz;57.09;438.0;190.0;2.21
448;60660.0;Dobl-Zwaring;37.86;3525.0;127.33;4.53
449;60661.0;Eggersdorf bei Graz;49.39;6815.0;132.61;2.51
450;60662.0;Fernitz-Mellach;20.52;4863.0;125.97;2.8
451;60663.0;Frohnleiten;153.95;6545.0;137.54;4.5
452;60664.0;Gratwein-Straßengel;86.75;12805.0;139.32;2.64
453;60665.0;Hitzendorf;48.92;7236.0;118.25;3.29
454;60666.0;Nestelbach bei Graz;27.37;2634.0;170.25;2.66
455;60667.0;Raaba-Grambach;14.64;4665.0;135.0;2.43
